"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 24 12:17:36 GMT 2021","Tue Aug 24 12:17:51 GMT 2021","14585","","ForumTestPOM","","ForumTestPOM","loop_through_list","Fórum keresési találatokon keresztül történő loopolás",""
"passed","Tue Aug 24 12:17:25 GMT 2021","Tue Aug 24 12:17:26 GMT 2021","1915","","ForumTestPOM","","ForumTestPOM","List_information","Fórum keresési találatok kilistázása",""
"passed","Tue Aug 24 11:02:43 GMT 2021","Tue Aug 24 11:02:45 GMT 2021","2119","","ForumTestPOM","","ForumTestPOM","Login_function","Belépés az Index fórumra",""
"passed","Fri Aug 27 03:36:49 GMT 2021","Fri Aug 27 03:36:57 GMT 2021","7228","","ForumTest","","ForumTest","writeprivacytextintodocument","Adatvédelmi információk szövegfájlba történő kiírása",""
"passed","Fri Aug 27 03:37:27 GMT 2021","Fri Aug 27 03:37:39 GMT 2021","12167","","ForumTest","","ForumTest","Logging_out","Kijelentkezés az Index fórumról",""
"passed","Fri Aug 27 03:36:41 GMT 2021","Fri Aug 27 03:36:49 GMT 2021","8790","","ForumTest","","ForumTest","List_information","Fórum keresési találatok kilistázása",""
"broken","Fri Aug 27 03:37:57 GMT 2021","Fri Aug 27 03:38:12 GMT 2021","15350","","ForumTest","","ForumTest","add_profile_information","Profil információk hozzáadása",""
"passed","Tue Aug 24 11:02:00 GMT 2021","Tue Aug 24 11:02:04 GMT 2021","3688","","ForumTestPOM","","ForumTestPOM","modify_profile_informations","Profil információk módosítása",""
"passed","Tue Aug 24 12:18:13 GMT 2021","Tue Aug 24 12:18:16 GMT 2021","3483","","ForumTestPOM","","ForumTestPOM","remove_information","Profil információk eltávolítása",""
"passed","Fri Aug 27 03:37:39 GMT 2021","Fri Aug 27 03:37:47 GMT 2021","7206","","ForumTest","","ForumTest","Print_text_from_main_page","Szöveg kinyerése weboldalról és console-ba való kiprintelése",""
"passed","Fri Aug 27 03:36:23 GMT 2021","Fri Aug 27 03:36:41 GMT 2021","17826","","ForumTest","","ForumTest","loop_through_list","Fórum keresési találatokon keresztül történő loopolás",""
"passed","Tue Aug 24 12:17:12 GMT 2021","Tue Aug 24 12:17:16 GMT 2021","3640","","ForumTestPOM","","ForumTestPOM","Logging_out","Kijelentkezés az Index fórumról",""
"broken","Fri Aug 27 03:35:46 GMT 2021","Fri Aug 27 03:36:14 GMT 2021","27859","","ForumTest","","ForumTest","modify_profile_informations","Profil információk módosítása",""
"skipped","Fri Aug 27 03:36:57 GMT 2021","Fri Aug 27 03:36:57 GMT 2021","0","","ForumTest","","ForumTest","Register","Regisztrálás az Index fórumra",""
"broken","Tue Aug 24 11:02:04 GMT 2021","Tue Aug 24 11:02:04 GMT 2021","3","","ForumTestPOM","","ForumTestPOM","Register","Regisztrálás az Index fórumra",""
"passed","Tue Aug 24 12:18:24 GMT 2021","Tue Aug 24 12:18:25 GMT 2021","596","","ForumTestPOM","","ForumTestPOM","writeprivacytextintodocument","Adatvédelmi információk szövegfájlba történő kiírása",""
"passed","Tue Aug 24 12:15:33 GMT 2021","Tue Aug 24 12:15:35 GMT 2021","1956","","ForumTestPOM","","ForumTestPOM","read_multiple_info","Egyidejűleg több keresési fogalom beolvasása fájlból",""
"passed","Fri Aug 27 03:36:14 GMT 2021","Fri Aug 27 03:36:23 GMT 2021","8963","","ForumTest","","ForumTest","read_multiple_info","Egyidejűleg több keresési fogalom beolvasása fájlból",""
"passed","Fri Aug 27 03:37:17 GMT 2021","Fri Aug 27 03:37:27 GMT 2021","10134","","ForumTest","","ForumTest","Login_function","Belépés az Index fórumra",""
"passed","Tue Aug 24 12:18:01 GMT 2021","Tue Aug 24 12:18:04 GMT 2021","3340","","ForumTestPOM","","ForumTestPOM","add_profile_information","Profil információk hozzáadása",""
"passed","Tue Aug 24 12:15:17 GMT 2021","Tue Aug 24 12:15:23 GMT 2021","5776","","ForumTestPOM","","ForumTestPOM","Read_from_file","Bejelentkezési adatok beolvasása fájlból",""
"passed","Fri Aug 27 03:37:47 GMT 2021","Fri Aug 27 03:37:57 GMT 2021","10075","","ForumTest","","ForumTest","Read_from_file","Bejelentkezési adatok beolvasása fájlból",""
"broken","Fri Aug 27 03:36:57 GMT 2021","Fri Aug 27 03:37:17 GMT 2021","20273","","ForumTest","","ForumTest","remove_information","Profil információk eltávolítása",""
"passed","Tue Aug 24 11:59:39 GMT 2021","Tue Aug 24 11:59:39 GMT 2021","231","","ForumTestPOM","","ForumTestPOM","Print_text_from_main_page","Szöveg kinyerése weboldalról és console-ba való kiprintelése",""
